h3,latitude,longitude,fused_score,distance_to_water,in_indigenous_territory,complex_id,complex_size
878b41603ffffff,-10.134302480686932,-70.39684142845707,0.98,71.24373,0,12.0,148.0
878b4c00bffffff,-9.832763651142816,-71.54817586673512,0.98,70.788826,1,7.0,130.0
878b4c168ffffff,-9.984485124946575,-71.72270522319843,0.98,60.577538,1,7.0,130.0
878b41022ffffff,-10.603907472713312,-70.57280040696139,0.98,122.77963,1,12.0,148.0
878b4ca32ffffff,-9.99510265927892,-71.88652741696121,0.98,47.30348,1,47.0,10.0
878b43a29ffffff,-10.101298938646412,-70.05227278325481,0.98,83.19473,0,1.0,103.0
878b4c026ffffff,-9.976994762688395,-71.51867115722446,0.98,79.71793,1,7.0,130.0
878b4bd75ffffff,-8.088827389196506,-71.21206975102115,0.98,34.04578,0,8.0,56.0
878b4cad0ffffff,-9.783314728595055,-71.86990590633978,0.98,35.15166,1,9.0,94.0
878b43820ffffff,-10.511654786175033,-69.7403299458508,0.98,101.348656,0,35.0,15.0
878b4878affffff,-8.390322808764523,-71.13404385596999,0.98,27.087202,0,29.0,34.0
878b43b5dffffff,-10.131901419110248,-70.11479741598644,0.98,82.25541,0,1.0,103.0
878b486f6ffffff,-8.256313332757308,-71.18442611023707,0.98,26.762705,0,8.0,56.0
878b487b3ffffff,-8.477416158996832,-71.08009882193892,0.98,30.67158,0,29.0,34.0
878b486a6ffffff,-8.356857188140562,-71.11133685401308,0.98,22.817513,0,29.0,34.0
878b4188affffff,-10.82500188185576,-70.60944026897813,0.98,147.60925,1,12.0,148.0
878b4c205ffffff,-9.564735001153991,-71.7917172476009,0.98,41.70104,1,9.0,94.0
878b41884ffffff,-10.908467694519423,-70.59541060020958,0.98,156.77504,1,6.0,49.0
878b41025ffffff,-10.624368836338531,-70.61475465335644,0.98,125.39225,1,125.0,1.0
878b4c00dffffff,-9.866414858332917,-71.57110832133561,0.98,69.504616,1,7.0,130.0
878b4ec01ffffff,-9.745608090961532,-70.24760261577889,0.98,39.199,0,5.0,42.0
878b4ab6cffffff,-8.410476993859604,-71.03471130030829,0.98,21.711647,0,29.0,34.0
878b48911ffffff,-9.299078330159569,-71.56784428565201,0.98,76.18711,1,2.0,65.0
878b48a0affffff,-8.741676979288943,-71.86967966449285,0.98,100.88915,0,13.0,9.0
878b4802bffffff,-8.738668881415334,-71.48407611070525,0.98,81.9631,0,15.0,49.0
878b48054ffffff,-8.678283388974888,-71.49968181920957,0.98,78.895996,0,15.0,49.0
878b4c301ffffff,-9.70587066081372,-71.8027475164552,0.98,39.99213,1,9.0,94.0
878b48790ffffff,-8.443943716843835,-71.05740071162128,0.98,26.187403,0,29.0,34.0
878b41569ffffff,-10.571844312161913,-70.368477798902,0.98,119.9028,1,12.0,148.0
878b486ceffffff,-8.155711636767773,-71.2575105397875,0.98,35.984303,0,8.0,56.0
878b416a1ffffff,-10.130129044491303,-70.29579192787392,0.98,73.504944,0,1.0,103.0
878b4c230ffffff,-9.604935227685072,-71.73382115947007,0.98,47.358955,1,9.0,94.0
878b4c14dffffff,-9.937444773131896,-71.71903795697762,0.98,58.110477,1,7.0,130.0
878b41130ffffff,-10.77083730074161,-70.54474375003348,0.98,141.1926,1,12.0,148.0
878b4876bffffff,-8.410039829584733,-71.4588169196044,0.98,60.36526,1,20.0,11.0
878b4c30dffffff,-9.679072360548588,-71.84136945779234,0.98,35.333572,1,9.0,94.0
878b4c06cffffff,-9.843368512392605,-71.7117069391546,0.98,53.973923,1,7.0,130.0
878b4802affffff,-8.752092383448149,-71.4648564768804,0.98,81.45317,0,15.0,49.0
878b4c21dffffff,-9.507580655086413,-71.76691105637403,0.98,46.134663,1,9.0,94.0
878b4c00effffff,-9.869626781022454,-71.53070072736753,0.98,73.871376,1,7.0,130.0
878b43918ffffff,-10.561213265932889,-69.70372964996064,0.98,95.02153,0,35.0,15.0
878b486e6ffffff,-8.262918742372305,-71.24547858491943,0.98,33.59642,0,8.0,56.0
878b43a71ffffff,-10.051556315581808,-70.08887303885827,0.98,76.49651,0,1.0,103.0
878b4cad5ffffff,-9.79344698424672,-71.89107478045958,0.98,33.501705,1,9.0,94.0
878b4c30cffffff,-9.69247296134014,-71.82205794610722,0.98,37.64407,1,9.0,94.0
878b4bd6effffff,-8.048508247863808,-71.26953558692811,0.98,41.825714,0,8.0,56.0
878b4c219ffffff,-9.484062560357003,-71.76507617475131,0.98,47.269054,1,9.0,94.0
878b4ca1effffff,-9.911112075760174,-71.90031544742399,0.98,39.78207,1,47.0,10.0
878b4c16bffffff,-9.960964770577268,-71.7208714435902,0.98,59.3516,1,7.0,130.0
878b4c228ffffff,-9.56144457470824,-71.83216091326689,0.98,37.413757,1,9.0,94.0
878b41c40ffffff,-10.813279406252027,-70.44682435223999,0.98,145.97467,1,6.0,49.0
878b4c02bffffff,-9.889922236301254,-71.57292859406732,0.98,70.237274,1,7.0,130.0
878b4c014ffffff,-9.923028866226906,-71.45353929569967,0.98,83.96243,1,7.0,130.0
878b4ed16ffffff,-9.928628193960026,-70.16037462274318,0.98,60.80898,0,1.0,103.0
878b4bcd6ffffff,-7.801577811752605,-70.98890132420928,0.98,37.319206,0,0.0,31.0
878b4874cffffff,-8.40001426556125,-71.4378189616317,0.98,57.79495,1,20.0,11.0
878b4c3abffffff,-9.63172092110681,-71.69522926340198,0.98,51.45044,1,9.0,94.0
878b43908ffffff,-10.568603706492317,-69.76446151695968,0.98,100.54366,0,35.0,15.0
878b4c14cffffff,-9.950815073434349,-71.69972294510227,0.98,60.723682,1,7.0,130.0
